[DEBUG] | homepage.py:6 | Searching...
[DEBUG] | homepage.py:6 | Searching...
[DEBUG] | homepage.py:6 | Searching...
[DEBUG] | homepage.py:6 | Searching...
[DEBUG] | homepage.py:6 | Searching...
[DEBUG] | homepage.py:12 | ['__class__', '__delattr__', '__dict__', '__dir__', '__doc__', '__eq__', '__format__', '__ge__', '__getattribute__', '__getstate__', '__gt__', '__hash__', '__init__', '__init_subclass__', '__le__', '__lt__', '__module__', '__ne__', '__new__', '__reduce__', '__reduce_ex__', '__repr__', '__setattr__', '__sizeof__', '__str__', '__subclasshook__', '__weakref__', 'control', 'data', 'name', 'page', 'target']
[DEBUG] | homepage.py:12 | ['__add__', '__class__', '__contains__', '__delattr__', '__dir__', '__doc__', '__eq__', '__format__', '__ge__', '__getattribute__', '__getitem__', '__getnewargs__', '__getstate__', '__gt__', '__hash__', '__init__', '__init_subclass__', '__iter__', '__le__', '__len__', '__lt__', '__mod__', '__mul__', '__ne__', '__new__', '__reduce__', '__reduce_ex__', '__repr__', '__rmod__', '__rmul__', '__setattr__', '__sizeof__', '__str__', '__subclasshook__', 'capitalize', 'casefold', 'center', 'count', 'encode', 'endswith', 'expandtabs', 'find', 'format', 'format_map', 'index', 'isalnum', 'isalpha', 'isascii', 'isdecimal', 'isdigit', 'isidentifier', 'islower', 'isnumeric', 'isprintable', 'isspace', 'istitle', 'isupper', 'join', 'ljust', 'lower', 'lstrip', 'maketrans', 'partition', 'removeprefix', 'removesuffix', 'replace', 'rfind', 'rindex', 'rjust', 'rpartition', 'rsplit', 'rstrip', 'split', 'splitlines', 'startswith', 'strip', 'swapcase', 'title', 'translate', 'upper', 'zfill']
[DEBUG] | homepage.py:12 | potato
[DEBUG] | homepage.py:12 | 
[DEBUG] | homepage.py:12 | src/
[DEBUG] | search.py:17 | .git
[DEBUG] | search.py:17 | .gitignore
[DEBUG] | search.py:17 | .logit
[DEBUG] | search.py:17 | .pre-commit-config.yaml
[DEBUG] | search.py:17 | app.log
[DEBUG] | search.py:17 | assets
[DEBUG] | search.py:17 | commit.py
[DEBUG] | search.py:17 | LICENSE
[DEBUG] | search.py:17 | logit
[DEBUG] | search.py:17 | output
[DEBUG] | search.py:17 | README.md
[DEBUG] | search.py:17 | setup.py
[DEBUG] | search.py:17 | structured-app.csv
[DEBUG] | search.py:17 | structured-app.json
[DEBUG] | search.py:17 | structured-app.xml
[DEBUG] | search.py:17 | .git
[DEBUG] | search.py:17 | .gitignore
[DEBUG] | search.py:17 | .logit
[DEBUG] | search.py:17 | .pre-commit-config.yaml
[DEBUG] | search.py:17 | app.log
[DEBUG] | search.py:17 | assets
[DEBUG] | search.py:17 | commit.py
[DEBUG] | search.py:17 | LICENSE
[DEBUG] | search.py:17 | logit
[DEBUG] | search.py:17 | output
[DEBUG] | search.py:17 | README.md
[DEBUG] | search.py:17 | setup.py
[DEBUG] | search.py:17 | structured-app.csv
[DEBUG] | search.py:17 | structured-app.json
[DEBUG] | search.py:17 | structured-app.xml
[DEBUG] | search.py:17 | COMMIT_EDITMSG
[DEBUG] | search.py:17 | config
[DEBUG] | search.py:17 | description
[DEBUG] | search.py:17 | FETCH_HEAD
[DEBUG] | search.py:17 | HEAD
[DEBUG] | search.py:17 | hooks
[DEBUG] | search.py:17 | index
[DEBUG] | search.py:17 | info
[DEBUG] | search.py:17 | logs
[DEBUG] | search.py:17 | objects
[DEBUG] | search.py:17 | packed-refs
[DEBUG] | search.py:17 | refs
[DEBUG] | search.py:17 | applypatch-msg.sample
[DEBUG] | search.py:17 | commit-msg.sample
[DEBUG] | search.py:17 | fsmonitor-watchman.sample
[DEBUG] | search.py:17 | post-update.sample
[DEBUG] | search.py:17 | pre-applypatch.sample
[DEBUG] | search.py:17 | pre-commit.sample
[DEBUG] | search.py:17 | pre-merge-commit.sample
[DEBUG] | search.py:17 | pre-push.sample
[DEBUG] | search.py:17 | pre-rebase.sample
[DEBUG] | search.py:17 | pre-receive.sample
[DEBUG] | search.py:17 | prepare-commit-msg.sample
[DEBUG] | search.py:17 | push-to-checkout.sample
[DEBUG] | search.py:17 | update.sample
[DEBUG] | search.py:17 | exclude
[DEBUG] | search.py:17 | HEAD
[DEBUG] | search.py:17 | refs
[DEBUG] | search.py:17 | heads
[DEBUG] | search.py:17 | remotes
[DEBUG] | search.py:17 | dev
[DEBUG] | search.py:17 | main
[DEBUG] | search.py:17 | origin
[DEBUG] | search.py:17 | dev
[DEBUG] | search.py:17 | gh-pages
[DEBUG] | search.py:17 | HEAD
[DEBUG] | search.py:17 | main
[DEBUG] | search.py:17 | 00
[DEBUG] | search.py:17 | 01
[DEBUG] | search.py:17 | 02
[DEBUG] | search.py:17 | 03
[DEBUG] | search.py:17 | 04
[DEBUG] | search.py:17 | 06
[DEBUG] | search.py:17 | 07
[DEBUG] | search.py:17 | 08
[DEBUG] | search.py:17 | 09
[DEBUG] | search.py:17 | 0c
[DEBUG] | search.py:17 | 0d
[DEBUG] | search.py:17 | 0e
[DEBUG] | search.py:17 | 0f
[DEBUG] | search.py:17 | 11
[DEBUG] | search.py:17 | 12
[DEBUG] | search.py:17 | 13
[DEBUG] | search.py:17 | 14
[DEBUG] | search.py:17 | 16
[DEBUG] | search.py:17 | 17
[DEBUG] | search.py:17 | 19
[DEBUG] | search.py:17 | 1b
[DEBUG] | search.py:17 | 1e
[DEBUG] | search.py:17 | 20
[DEBUG] | search.py:17 | 21
[DEBUG] | search.py:17 | 22
[DEBUG] | search.py:17 | 23
[DEBUG] | search.py:17 | 26
[DEBUG] | search.py:17 | 28
[DEBUG] | search.py:17 | 2a
[DEBUG] | search.py:17 | 2b
[DEBUG] | search.py:17 | 2c
[DEBUG] | search.py:17 | 2d
[DEBUG] | search.py:17 | 2e
[DEBUG] | search.py:17 | 31
[DEBUG] | search.py:17 | 32
[DEBUG] | search.py:17 | 33
[DEBUG] | search.py:17 | 34
[DEBUG] | search.py:17 | 38
[DEBUG] | search.py:17 | 3a
[DEBUG] | search.py:17 | 3b
[DEBUG] | search.py:17 | 3d
[DEBUG] | search.py:17 | 3e
[DEBUG] | search.py:17 | 3f
[DEBUG] | search.py:17 | 41
[DEBUG] | search.py:17 | 42
[DEBUG] | search.py:17 | 43
[DEBUG] | search.py:17 | 46
[DEBUG] | search.py:17 | 47
[DEBUG] | search.py:17 | 49
[DEBUG] | search.py:17 | 4a
[DEBUG] | search.py:17 | 4b
[DEBUG] | search.py:17 | 4c
[DEBUG] | search.py:17 | 4d
[DEBUG] | search.py:17 | 4e
[DEBUG] | search.py:17 | 4f
[DEBUG] | search.py:17 | 51
[DEBUG] | search.py:17 | 52
[DEBUG] | search.py:17 | 54
[DEBUG] | search.py:17 | 55
[DEBUG] | search.py:17 | 56
[DEBUG] | search.py:17 | 58
[DEBUG] | search.py:17 | 5a
[DEBUG] | search.py:17 | 5c
[DEBUG] | search.py:17 | 5d
[DEBUG] | search.py:17 | 5f
[DEBUG] | search.py:17 | 60
[DEBUG] | search.py:17 | 64
[DEBUG] | search.py:17 | 65
[DEBUG] | search.py:17 | 66
[DEBUG] | search.py:17 | 67
[DEBUG] | search.py:17 | 68
[DEBUG] | search.py:17 | 69
[DEBUG] | search.py:17 | 6a
[DEBUG] | search.py:17 | 6c
[DEBUG] | search.py:17 | 6d
[DEBUG] | search.py:17 | 6e
[DEBUG] | search.py:17 | 6f
[DEBUG] | search.py:17 | 70
